"Origin","Destination","Transport","TimeHours","CostUSD","LastUpdated","Note"
"Apia","Pago Pago","plane","1.04","70.39","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Astana","plane","2.89","169.83","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Kabul","plane","2.17","131.08","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Lima","plane","26.5","926.22","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","London","plane","6.69","339.29","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Pretoria","plane","12.07","524.69","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Singapore","plane","9.95","422.6","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Tashkent","plane","2.1","127.64","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Tehran","plane","1.72","97.56","2026-06-24","Estimated from geodesic distance model"
"Ashgabat","Washington DC","plane","16.26","682.9","2026-06-24","Estimated from geodesic distance model"
"Asmara","Canberra","plane","19.87","867.58","2026-06-24","Estimated from geodesic distance model"
"Asmara","Djibouti","plane","1.62","92.45","2026-06-24","Estimated from geodesic distance model"
"Asmara","Lima","plane","23.12","865.42","2026-06-24","Estimated from geodesic distance model"
"Asmara","London","plane","8.77","365.66","2026-06-24","Estimated from geodesic distance model"
"Asmara","Pretoria","plane","6.27","351.09","2026-06-24","Estimated from geodesic distance model"
"Asmara","Singapore","plane","11.45","494.88","2026-06-24","Estimated from geodesic distance model"
"Asmara","Washington DC","plane","17.15","730.39","2026-06-24","Estimated from geodesic distance model"
"Astana","Ashgabat","plane","3.17","168.47","2026-06-24","Estimated from geodesic distance model"
"Astana","Beijing","train","33.8","178.09","2026-06-24","Estimated from geodesic distance model"
"Astana","Beijing","plane","5.35","274.08","2026-06-24","Estimated from geodesic distance model"
"Astana","Bishkek","plane","1.97","120.46","2026-06-24","Estimated from geodesic distance model"
"Astana","Kabul","plane","2.98","174.33","2026-06-24","Estimated from geodesic distance model"
"Astana","Moscow","plane","3.45","199.77","2026-06-24","Estimated from geodesic distance model"
"Astana","Tashkent","bus","16.46","45.74","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Brasilia","bus","21.15","57.85","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Buenos Aires","bus","18.21","50.23","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Canberra","plane","19.25","840.62","2026-06-24","Estimated from geodesic distance model"
"Asuncion","La Paz","bus","21.61","59.02","2026-06-24","Estimated from geodesic distance model"
"Asuncion","London","plane","16.68","697.91","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Pretoria","plane","12.87","564.08","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Singapore","plane","27.78","1107.03","2026-06-24","Estimated from geodesic distance model"
"Asuncion","Washington DC","plane","11.18","483.3","2026-06-24","Estimated from geodesic distance model"
"Athens","Belgrade","bus","12.07","34.4","2026-06-24","Estimated from geodesic distance model"
"Athens","Canberra","plane","25.71","1001.3","2026-06-24","Estimated from geodesic distance model"
"Athens","Lima","plane","18.08","778.76","2026-06-24","Estimated from geodesic distance model"
"Athens","London","plane","3.84","200.69","2026-06-24","Estimated from geodesic distance model"
"Athens","Pretoria","plane","10.27","489.45","2026-06-24","Estimated from geodesic distance model"
"Athens","Singapore","plane","15.52","633.2","2026-06-24","Estimated from geodesic distance model"
"Athens","Skopje","bus","7.82","21.27","2026-06-24","Estimated from geodesic distance model"
"Athens","Sofia","bus","8.46","22.79","2026-06-24","Estimated from geodesic distance model"
"Athens","Tirana","bus","7.56","22.72","2026-06-24","Estimated from geodesic distance model"
"Athens","Washington DC","plane","12.12","529.18","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Amman","plane","1.96","109.56","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Amman","plane","1.96","109.56","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Canberra","plane","23.5","882.33","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Kuwait","plane","1.53","96.65","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Lima","plane","24.3","919.16","2026-06-24","Estimated from geodesic distance model"
"Baghdad","London","plane","5.82","296.6","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Pretoria","plane","9.93","471.07","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Riyadh","plane","2.01","122.43","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Singapore","plane","10.95","471.77","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Tehran","plane","1.74","98.26","2026-06-24","Estimated from geodesic distance model"
"Baghdad","Washington DC","plane","16.49","687.1","2026-06-24","Estimated from geodesic distance model"
"Baku","Canberra","plane","23.44","877.94","2026-06-24","Estimated from geodesic distance model"
"Baku","Lima","plane","25.74","887.68","2026-06-24","Estimated from geodesic distance model"
"Baku","London","plane","5.8","296.02","2026-06-24","Estimated from geodesic distance model"
"Baku","Pretoria","plane","10.98","527.52","2026-06-24","Estimated from geodesic distance model"
"Baku","Tehran","plane","1.61","92.5","2026-06-24","Estimated from geodesic distance model"
"Baku","Washington DC","plane","17.01","638.33","2026-06-24","Estimated from geodesic distance model"
"Baku","Yerevan","bus","7.01","21.31","2026-06-24","Estimated from geodesic distance model"
"Bamako","Addis Ababa","plane","8.63","358.39","2026-06-24","Estimated from geodesic distance model"
"Bamako","Dakar","train","10.75","57.72","2026-06-24","Estimated from geodesic distance model"
"Bamako","Ouagadougou","plane","1.66","103.5","2026-06-24","Estimated from geodesic distance model"
"Bandar Seri Begawan","Manila","plane","2.45","132.82","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Beijing","plane","4.99","256.9","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Kuala Lumpur","plane","2.31","125.9","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Phnom Penh","train","5.76","35.48","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Seoul","plane","5.04","285.4","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Singapore","train","14.02","79.77","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Thimphu","plane","3.28","173.71","2026-06-24","Estimated from geodesic distance model"
"Bangkok","Vientiane","train","5.44","33.63","2026-06-24","Estimated from geodesic distance model"
"Bangui","Brazzaville","plane","2.08","126.42","2026-06-24","Estimated from geodesic distance model"
"Bangui","Canberra","plane","24.55","932.96","2026-06-24","Estimated from geodesic distance model"
"Bangui","Khartoum","plane","3.37","178.17","2026-06-24","Estimated from geodesic distance model"
"Bangui","Lima","plane","18.11","693.54","2026-06-24","Estimated from geodesic distance model"
"Bangui","London","plane","9.03","378.18","2026-06-24","Estimated from geodesic distance model"
"Bangui","N'Djamena","plane","2","122.08","2026-06-24","Estimated from geodesic distance model"
"Bangui","Pretoria","plane","4.87","276.12","2026-06-24","Estimated from geodesic distance model"
"Bangui","Singapore","plane","16.41","612.37","2026-06-24","Estimated from geodesic distance model"
"Bangui","Washington DC","plane","16.37","685.58","2026-06-24","Estimated from geodesic distance model"
"Bangui","Yaounde","plane","1.83","102.51","2026-06-24","Estimated from geodesic distance model"
"Banjul","Dakar","plane","1.07","72.01","2026-06-24","Estimated from geodesic distance model"
"Banjul","Freetown","plane","1.74","98.74","2026-06-24","Estimated from geodesic distance model"
"Beijing","Astana","train","36.37","173.34","2026-06-24","Estimated from geodesic distance model"
"Beijing","Astana","plane","5.21","266.55","2026-06-24","Estimated from geodesic distance model"
"Beijing","Bangkok","plane","4.78","245.32","2026-06-24","Estimated from geodesic distance model"
"Beijing","Bishkek","plane","5.12","262.63","2026-06-24","Estimated from geodesic distance model"
"Beijing","Canberra","plane","15.19","619.68","2026-06-24","Estimated from geodesic distance model"
"Beijing","Dushanbe","plane","5.59","314.62","2026-06-24","Estimated from geodesic distance model"
"Beijing","Hanoi","train","23.63","116.17","2026-06-24","Estimated from geodesic distance model"
"Beijing","Islamabad","plane","5.22","295.05","2026-06-24","Estimated from geodesic distance model"
"Beijing","Kathmandu","plane","4.76","245.31","2026-06-24","Estimated from geodesic distance model"
"Beijing","Kathmandu","train","29.32","155.8","2026-06-24","Estimated from geodesic distance model"
"Beijing","Lima","plane","27.61","1099.52","2026-06-24","Estimated from geodesic distance model"
"Beijing","London","plane","11.91","573.72","2026-06-24","Estimated from geodesic distance model"
"Beijing","Manila","plane","4.24","219.21","2026-06-24","Estimated from geodesic distance model"
"Beijing","New Delhi","plane","5.34","272.75","2026-06-24","Estimated from geodesic distance model"
"Beijing","Pyongyang","train","8.58","48.22","2026-06-24","Estimated from geodesic distance model"
"Beijing","Phnom Penh","plane","5.01","257.73","2026-06-24","Estimated from geodesic distance model"
"Beijing","Pretoria","plane","17.81","765.9","2026-06-24","Estimated from geodesic distance model"
"Beijing","Seoul","boat","22.91","62.01","2026-06-24","Estimated from geodesic distance model"
"Beijing","Singapore","plane","6.44","327.48","2026-06-24","Estimated from geodesic distance model"
"Beijing","Tashkent","plane","5.52","281.6","2026-06-24","Estimated from geodesic distance model"
"Beijing","Tokyo","plane","3.34","194.16","2026-06-24","Estimated from geodesic distance model"
"Beijing","Vientiane","plane","3.97","227.44","2026-06-24","Estimated from geodesic distance model"
"Beijing","Washington DC","plane","18.5","713.64","2026-06-24","Estimated from geodesic distance model"
"Beijing","Yangon","plane","4.53","257.63","2026-06-24","Estimated from geodesic distance model"
"Beirut","Amman","plane","1.11","73.86","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Athens","bus","12.41","32","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Bucharest","train","4.67","33.17","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Budapest","train","3.43","26.93","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Canberra","plane","26.27","1029.65","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Lima","plane","18.48","716.3","2026-06-24","Estimated from geodesic distance model"
"Belgrade","London","plane","2.99","159.09","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Pretoria","plane","11.2","538.83","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Sarajevo","train","2.2","20.67","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Singapore","plane","16.24","605.02","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Skopje","train","3.66","25.94","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Skopje","train","3.66","25.94","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Sofia","train","3.57","27.83","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Tirana","bus","6.28","19.49","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Vienna","train","5.27","33.08","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Washington DC","plane","11.21","536.86","2026-06-24","Estimated from geodesic distance model"
"Belgrade","Zagreb","train","4.21","28.61","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Canberra","plane","24.46","932.23","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Guatemala","plane","1.27","82.55","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Lima","plane","4.78","271.09","2026-06-24","Estimated from geodesic distance model"
"Belmopan","London","plane","12.15","587.36","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Mexico","plane","2.19","132.1","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Pretoria","plane","23.25","877.59","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Singapore","plane","29.95","1094.01","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Singapore","plane","29.95","1094.01","2026-06-24","Estimated from geodesic distance model"
"Belmopan","Washington DC","plane","3.81","219.29","2026-06-24","Estimated from geodesic distance model"
"Berlin","Amsterdam","train","6.18","37.31","2026-06-24","Estimated from geodesic distance model"
"Berlin","Bern","train","7.35","46.36","2026-06-24","Estimated from geodesic distance model"
"Berlin","Brussels","train","6.73","39.53","2026-06-24","Estimated from geodesic distance model"
"Berlin","Canberra","plane","26.71","1055.1","2026-06-24","Estimated from geodesic distance model"
"Berlin","Copenhagen","train","3.79","28.73","2026-06-24","Estimated from geodesic distance model"
"Berlin","Lima","plane","18.47","711.91","2026-06-24","Estimated from geodesic distance model"
"Berlin","London","plane","2.05","113.32","2026-06-24","Estimated from geodesic distance model"
"Berlin","Luxembourg","train","5.92","39.15","2026-06-24","Estimated from geodesic distance model"
"Berlin","Paris","train","9.29","51.5","2026-06-24","Estimated from geodesic distance model"
"Berlin","Prague","train","3.16","23.37","2026-06-24","Estimated from geodesic distance model"
"Berlin","Pretoria","plane","12.21","593.51","2026-06-24","Estimated from geodesic distance model"
"Berlin","Singapore","plane","16.69","628.7","2026-06-24","Estimated from geodesic distance model"
"Berlin","Sofia","plane","2.56","138.62","2026-06-24","Estimated from geodesic distance model"
"Berlin","Vienna","train","5.52","34.13","2026-06-24","Estimated from geodesic distance model"
"Berlin","Warsaw","train","5.68","35.24","2026-06-24","Estimated from geodesic distance model"
"Berlin","Washington DC","plane","10.77","461.84","2026-06-24","Estimated from geodesic distance model"
"Bern","Berlin","train","7.84","44.72","2026-06-24","Estimated from geodesic distance model"
"Bern","Canberra","plane","27.62","1098.96","2026-06-24","Estimated from geodesic distance model"
"Bern","Lima","plane","16.57","699.51","2026-06-24","Estimated from geodesic distance model"
"Bern","London","plane","1.75","108.68","2026-06-24","Estimated from geodesic distance model"
"Bern","Paris","train","4.53","32.44","2026-06-24","Estimated from geodesic distance model"
"Bern","Pretoria","plane","11.81","571.06","2026-06-24","Estimated from geodesic distance model"
"Bern","Rome","plane","1.77","100.03","2026-06-24","Estimated from geodesic distance model"
"Bern","Singapore","plane","17.79","677.02","2026-06-24","Estimated from geodesic distance model"
"Bern","Vaduz","bus","2.86","10.57","2026-06-24","Estimated from geodesic distance model"
"Bern","Vienna","train","6.77","43.55","2026-06-24","Estimated from geodesic distance model"
"Bern","Washington DC","plane","9.78","462.24","2026-06-24","Estimated from geodesic distance model"
"Bishkek","Astana","plane","2.03","112.15","2026-06-24","Estimated from geodesic distance model"
"Bishkek","Beijing","plane","5.03","258.1","2026-06-24","Estimated from geodesic distance model"
"Bishkek","Tashkent","bus","7.97","21.68","2026-06-24","Estimated from geodesic distance model"
"Bissau","Doha","plane","11.22","484.31","2026-06-24","Estimated from geodesic distance model"
"Bogota","Brasilia","plane","5.28","270.17","2026-06-24","Estimated from geodesic distance model"
"Bogota","Brasilia","plane","5.28","270.17","2026-06-24","Estimated from geodesic distance model"
"Bogota","Canberra","plane","25.64","891.05","2026-06-24","Estimated from geodesic distance model"
"Bogota","Canberra","plane","25.64","891.05","2026-06-24","Estimated from geodesic distance model"
"Bogota","Caracas","plane","2.17","119.52","2026-06-24","Estimated from geodesic distance model"
"Bogota","Lima","plane","3.17","167.7","2026-06-24","Estimated from geodesic distance model"
"Bogota","Lima","plane","3.17","167.7","2026-06-24","Estimated from geodesic distance model"
"Bogota","London","plane","12.86","563.87","2026-06-24","Estimated from geodesic distance model"
"Bogota","London","plane","12.86","563.87","2026-06-24","Estimated from geodesic distance model"
"Bogota","Panama","plane","1.79","110.82","2026-06-24","Estimated from geodesic distance model"
"Bogota","Pretoria","plane","18.14","776.55","2026-06-24","Estimated from geodesic distance model"
"Bogota","Pretoria","plane","18.14","776.55","2026-06-24","Estimated from geodesic distance model"
"Bogota","Quito","plane","1.73","107.63","2026-06-24","Estimated from geodesic distance model"
"Bogota","Singapore","plane","31.11","1159.84","2026-06-24","Estimated from geodesic distance model"
"Bogota","Singapore","plane","31.11","1159.84","2026-06-24","Estimated from geodesic distance model"
"Bogota","Washington DC","plane","5.29","298.57","2026-06-24","Estimated from geodesic distance model"
"Bogota","Washington DC","plane","5.29","298.57","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Asuncion","bus","21.15","57.85","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Bogota","plane","5.15","291.4","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Bogota","plane","5.15","291.4","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Canberra","plane","26.13","903.28","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Canberra","plane","26.13","903.28","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Caracas","bus","52.86","126.43","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Cayenne","truck","39.77","82.27","2026-06-24","Estimated from geodesic distance model"
"Brasilia","La Paz","plane","3.31","192.35","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Lima","plane","4.54","258.53","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Lima","plane","4.54","258.53","2026-06-24","Estimated from geodesic distance model"
"Brasilia","London","plane","13.34","586.8","2026-06-24","Estimated from geodesic distance model"
"Brasilia","London","plane","13.34","586.8","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Montevideo","bus","34.82","84.56","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Pretoria","plane","11.98","521.2","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Pretoria","plane","11.98","521.2","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Quito","plane","5.24","296.09","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Singapore","plane","26.6","1059.41","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Singapore","plane","26.6","1059.41","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Washington DC","plane","10.5","450.03","2026-06-24","Estimated from geodesic distance model"
"Brasilia","Washington DC","plane","10.5","450.03","2026-06-24","Estimated from geodesic distance model"
"Bratislava","Budapest","train","2.08","18.57","2026-06-24","Estimated from geodesic distance model"
"Bratislava","Kyiv","train","9.64","57.75","2026-06-24","Estimated from geodesic distance model"
"Bratislava","Prague","bus","4.89","14.42","2026-06-24","Estimated from geodesic distance model"
"Bratislava","Prague","train","3.15","25.54","2026-06-24","Estimated from geodesic distance model"
"Bratislava","Warsaw","bus","8.47","22.85","2026-06-24","Estimated from geodesic distance model"
"Brazzaville","Bangui","plane","2.03","123.39","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Canberra","plane","28.09","1006.42","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Kingstown","boat","4.93","33.37","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Lima","plane","4.89","250.97","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","London","plane","9.88","468.54","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Pretoria","plane","17.12","650.88","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Singapore","plane","30.34","1109.64","2026-06-24","Estimated from geodesic distance model"
"Bridgetown","Washington DC","plane","4.62","262.62","2026-06-24","Estimated from geodesic distance model"
"Brussels","Amsterdam","bus","3.16","11.41","2026-06-24","Estimated from geodesic distance model"
"Brussels","Amsterdam","train","2.15","20.78","2026-06-24","Estimated from geodesic distance model"
"Brussels","Berlin","train","6.55","42.5","2026-06-24","Estimated from geodesic distance model"
"Brussels","Berlin","bus","10.55","27.84","2026-06-24","Estimated from geodesic distance model"
"Brussels","Canberra","plane","26.98","1076.94","2026-06-24","Estimated from geodesic distance model"
"Brussels","Lima","plane","16.98","714.07","2026-06-24","Estimated from geodesic distance model"
"Brussels","London","plane","1.32","78.29","2026-06-24","Estimated from geodesic distance model"
"Brussels","Luxembourg","train","2.35","20","2026-06-24","Estimated from geodesic distance model"
"Brussels","Paris","bus","4.59","13.74","2026-06-24","Estimated from geodesic distance model"
"Brussels","Paris","train","2.94","24.43","2026-06-24","Estimated from geodesic distance model"
"Brussels","Pretoria","plane","13.28","584.22","2026-06-24","Estimated from geodesic distance model"
"Brussels","Singapore","plane","16.82","709.58","2026-06-24","Estimated from geodesic distance model"
"Brussels","Washington DC","plane","10.04","426.8","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Belgrade","train","5","32.17","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Budapest","train","6.65","39.2","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Canberra","plane","26.72","940.65","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Chisinau","train","4","27.38","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Kyiv","train","7.56","47.66","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Lima","plane","19.17","748.75","2026-06-24","Estimated from geodesic distance model"
"Bucharest","London","plane","3.31","192.51","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Pretoria","plane","11.54","553.67","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Singapore","plane","12.43","605.02","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Sofia","train","3.17","25.66","2026-06-24","Estimated from geodesic distance model"
"Bucharest","Washington DC","plane","11.33","545.96","2026-06-24","Estimated from geodesic distance model"
"Budapest","Belgrade","train","3.5","27.46","2026-06-24","Estimated from geodesic distance model"
"Budapest","Bratislava","train","2.11","18.88","2026-06-24","Estimated from geodesic distance model"
"Budapest","Bucharest","train","6.8","40.14","2026-06-24","Estimated from geodesic distance model"
"Budapest","Canberra","plane","25.93","1019.31","2026-06-24","Estimated from geodesic distance model"
"Budapest","Georgetown","plane","12.98","569.21","2026-06-24","Estimated from geodesic distance model"
"Budapest","Kyiv","train","8.84","53.92","2026-06-24","Estimated from geodesic distance model"
"Budapest","Lima","plane","18.28","781.85","2026-06-24","Estimated from geodesic distance model"
"Budapest","London","plane","2.48","147.67","2026-06-24","Estimated from geodesic distance model"
"Budapest","Prague","train","4.87","31.37","2026-06-24","Estimated from geodesic distance model"
"Budapest","Pretoria","plane","12.54","548.02","2026-06-24","Estimated from geodesic distance model"
"Budapest","Singapore","plane","15.66","646.47","2026-06-24","Estimated from geodesic distance model"
"Budapest","Vienna","train","2.67","21.54","2026-06-24","Estimated from geodesic distance model"
"Budapest","Warsaw","train","5.54","37.46","2026-06-24","Estimated from geodesic distance model"
"Budapest","Washington DC","plane","11.39","492.32","2026-06-24","Estimated from geodesic distance model"
"Budapest","Zagreb","train","3.25","25.98","2026-06-24","Estimated from geodesic distance model"
"Buenos Aires","Asuncion","bus","19.58","48.83","2026-06-24","Estimated from geodesic distance model"
"Buenos Aires","La Paz","bus","35.59","86.19","2026-06-24","Estimated from geodesic distance model"
"Buenos Aires","Montevideo","bus","6.5","18.26","2026-06-24","Estimated from geodesic distance model"
"Buenos Aires","Santiago","plane","2.05","124.72","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Canberra","plane","18.76","816.12","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Kigali","bus","3.27","10.81","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Kinshasa","plane","2.65","156.58","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Lima","plane","18.79","730.65","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","London","plane","10.23","483.54","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Pretoria","plane","3.99","207.85","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Singapore","plane","12.65","553.57","2026-06-24","Estimated from geodesic distance model"
"Bujumbura","Washington DC","plane","18.28","785.15","2026-06-24","Estimated from geodesic distance model"
"Cairo","Abuja","plane","4.83","273.8","2026-06-24","Estimated from geodesic distance model"
"Cairo","Addis Ababa","plane","3.84","200.24","2026-06-24","Estimated from geodesic distance model"
"Cairo","Amman","bus","7.77","21.14","2026-06-24","Estimated from geodesic distance model"
"Cairo","Ankara","plane","2.19","132.41","2026-06-24","Estimated from geodesic distance model"
"Cairo","Canberra","plane","25.57","886.06","2026-06-24","Estimated from geodesic distance model"
"Cairo","Jerusalem","bus","6.58","20.19","2026-06-24","Estimated from geodesic distance model"
"Cairo","Khartoum","train","15.92","80.77","2026-06-24","Estimated from geodesic distance model"
"Cairo","Lima","plane","20.02","787.46","2026-06-24","Estimated from geodesic distance model"
"Cairo","London","plane","5.25","269.3","2026-06-24","Estimated from geodesic distance model"
